id,text,topic
1,Vaccination centers are crowded today but people seem hopeful about the rollout.,0
2,Many users are discussing public health policy and trust in official updates.,1
3,The news coverage today focuses on rising cases and hospital preparedness.,0
4,People are sharing frustration about misinformation spreading online.,2
5,Some posts express gratitude for frontline healthcare workers.,0
6,Discussion is shifting toward economic recovery and local business reopening.,3
7,Users debate whether media headlines create panic or awareness.,2
8,"Several comments mention uncertainty, stress, and digital fatigue.",2
9,Public reactions show concern about healthcare access in rural areas.,0
10,Many conversations praise data dashboards and transparent reporting.,1
11,Posts discuss online education challenges during crisis periods.,3
12,People react strongly to breaking news alerts and policy announcements.,1
